ticker,cik,formType,filedAt,filingUrl
TSLA,1318605,8-K,2024-10-23T16:09:26-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043432/tsla-20241023.htm
WMT,104169,8-K,2024-10-18T16:03:50-04:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000166/wmt-20241018.htm
NFLX,1065280,8-K,2024-10-17T16:01:18-04:00,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000286/nflx-20241017.htm
AVGO,1730168,8-K,2024-10-02T16:10:59-04:00,https://www.sec.gov/Archives/edgar/data/1730168/000119312524231159/d860121d8k.htm
TSLA,1318605,8-K,2024-10-02T09:06:34-04:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828024041816/tsla-20241002.htm
WMT,104169,8-K,2024-11-22T17:28:28-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000173/wmt-20241122.htm
WMT,104169,8-K,2024-11-19T06:59:42-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416924000170/wmt-20241119.htm
AVGO,1730168,8-K,2024-12-12T16:23:06-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000125/avgo-20241212.htm
MSFT,789019,8-K,2024-12-11T16:01:27-05:00,https://www.sec.gov/Archives/edgar/data/789019/000119312524275524/d865252d8k.htm
MSFT,789019,8-K,2024-12-03T16:00:37-05:00,https://www.sec.gov/Archives/edgar/data/789019/000095017024132722/msft-20241203.htm
AAPL,320193,8-K,2025-01-30T16:30:23-05:00,https://www.sec.gov/Archives/edgar/data/320193/000032019325000007/aapl-20250130.htm
META,1326801,8-K,2025-01-29T16:47:14-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000014/meta-20250129.htm
TSLA,1318605,8-K,2025-01-29T16:09:13-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828025002993/tsla-20250129.htm
MSFT,789019,8-K,2025-01-29T16:08:56-05:00,https://www.sec.gov/Archives/edgar/data/789019/000095017025010484/msft-20250129.htm
MSFT,789019,8-K,2025-01-22T17:15:39-05:00,https://www.sec.gov/Archives/edgar/data/789019/000119312525010492/d929748d8k.htm
NFLX,1065280,8-K,2025-01-21T16:02:20-05:00,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000033/nflx-20250121.htm
AVGO,1730168,8-K,2025-01-13T16:16:11-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000119312525005318/d925244d8k.htm
AVGO,1730168,8-K,2025-01-10T16:23:51-05:00,https://www.sec.gov/Archives/edgar/data/1730168/000119312525004476/d880789d8k.htm
META,1326801,8-K,2025-01-06T16:40:45-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000005/meta-20241230.htm
AAPL,320193,8-K,2025-01-03T16:30:56-05:00,https://www.sec.gov/Archives/edgar/data/320193/000114036125000228/ef20040370_8k.htm
TSLA,1318605,8-K,2025-01-02T09:06:39-05:00,https://www.sec.gov/Archives/edgar/data/1318605/000162828025000007/tsla-20250102.htm
META,1326801,8-K,2025-02-20T16:33:09-05:00,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000021/meta-20250213.htm
WMT,104169,8-K,2025-02-20T06:57:00-05:00,https://www.sec.gov/Archives/edgar/data/104169/000010416925000010/wmt-20250220.htm
AMZN,1018724,8-K,2025-02-06T16:09:12-05:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000002/amzn-20250206.htm
